title,salary,company,posted,district,job_description,career level,company website,qualification,job type,years of experience
manager,salary,Ambition,2022-11-24,district,"Job Responsibilities
This is a newly created role which you will be responsible for setting up a proper framework to integrate all the existing and new data tech stack. You will build a strong data architecture to ensure data quality, integrity and governance. Working closely with various business stakeholders including but not limited to marketing, CRM, e-commerce and customer services, you will uncover needs and pain points of business users in all data related topics and technologies, and provide recommendations accordingly. You will keep abreast of latest market trends and understand new technologies for data management and identify relevant data solutions for more efficient and impactful data uses. You will work with external vendors to evaluate, identify and implement different data tools appropriate for the business.
Key Requirement
Degree holder in Information Technology, Data Analytics, Computer Science or related discipline with at least 5 years of relevant work experience related to data consulting and product management.
Strong knowledge in latest data products, tools and application is required.
Prior experience working in any B2C businesses including retail, FMCG, e-commerce and consumer good would be a big advantage.
Knowledge in data warehousing and ETL, Python and SQL is a plus but not a must.
Strong communicator with good business acumen and stakeholders management skills.
Proficient in English and Chinese (Cantonese and Mandarin) is a must.
If this job isn't quite right for you, but you know someone who would be great at this role, why not take advantage of our referral scheme? We offer HKD1000 in Apple gift cards for every referred candidate who we place in a role. Terms & Conditions Apply. https://www.ambition.com.hk/refer-a-friend",Senior,http://www.ambition.com.hk,Degree,"Full Time, Permanent",3
it,salary,IT Consulting Solutions Limited,2022-11-24,Kowloon City,"We are seeking a resourceful, experienced Senior Data Management Cloud Architect Lead for a leading transport network corporation in Hong Kong. Candidate with less experience will be considered as Junior Data Management Cloud Engineer.

About ITCS Group
ITCS Group is a global IT Managed Services firm delivering tangible outcomes for our customers.
We are privileged to include some of the world’s largest banks, insurance firms and multinationals as our customers. We also support smaller start-ups and SME's as they aspire to conquer their markets.

We are expanding on a daily basis and if you're looking for the next step in your career, want to be valued as a professional, and endeavor to exceed expectations - then we want to speak with you.

Headquartered in Singapore and strategically located in Hong Kong, Tokyo, the US, Australia, China, and India.
Requirements
University Degree or above in Engineering / Data Science / Computer Science / Information Technology or a related discipline
Certificates with specialty / associate level or above or equivalent for AWS
Professional certificate from Chartered Engineer certificate from Institution of Railway Signal Engineers / Engineering Council / Institution of Engineering and Technology / Institution of Mechanical Engineers or equivalent
Have at least 7 years’ post academic experience in leading / design / implementation / consulting for data management, cloud architecture and data analytics, aiming to ensure high level of data quality and drawing actionable insights from multiple sources of data
Experience and knowledge in leading / design / implementation / consulting the implementation of international and industrial standards in data management on AWS cloud environment (by leveraging AWS cloud computing technologies related to data management in particular S3, Data Sync, SNS, SES, SQS, Dynamo DB, Athena, Lambda, Glue)
Experience in leading / design / implementation / consulting the automatic data pipeline and data quality assurance within AWS platform
Experience in leading / design / implementation / consulting the automatic data pipeline and data quality assurance between AWS and on premises servers / other cloud platforms
Knowledge in various international and industrial standards in data management (e.g. ISO 8000 series, ISO 38505, DAMA Book)
Experience in leading / design / implementation / consulting the use of AWS cloud computing technologies related to analytics (in particular AWS Sage Maker, Kinesis, Athena, Lambda)
Experience in leading / design / implementation / consulting the use of both historical and real-time streaming data from IoT devices and other railway engineering / operations systems for analyses and data visualization, including
         • Abnormality detection
         • Trend analyses
         • Pattern identification analyses
Experience in leading / design / implementation / consulting the use of a combination of statistical modelling, predictive modelling and machine learning modelling for analyses
Have experience in all of the following sets of tools and technology:
         • Programming Language: Python, R, JavaScript, Selenium and RESTful API
         • Data Visualization Software: Tableau
Have experience in working with Agile projects
Fluent in spoken and written English, Cantonese and Mandarin 
 About the role 
Data Management and Cloud Architecture
To lead the development and design, build, test, and maintain highly scalable data management systems on Data Studio Architectural Cloud for historical and real-time streaming data from IoT devices and other railway engineering / operations systems and maintain the databases to ensure the data management process complies with international ISO standards or equivalent

To lead the development and set up and maintain automated data processes and pipelines between Data Studio Architectural Cloud and other parts of Data Studio Cloud Platform 

 Syncing up data between cloud platforms, continuous connection between cloud platforms, checking functions for data quality and availability

To lead, design, manage and housekeep document / source code version for the data management system and pipelines

Data Analytics
To lead the development and design, build, test, and maintain highly scalable data analytic systems on Data Studio Architectural Cloud for historical and real-time streaming data from IoT devices and other railway engineering / operations systems. A combination of statistical modelling, predictive modelling and machine learning modelling shall be applied to power the analytic systems, which may include but not limited to the following:

     • Abnormality detection
     • Trend analyses
     • Pattern identification analyses

To lead the development of and design and create data visualization dashboard and reports to communicate data analytics insights effectively.",Senior,http://www.itcs-group.com,Degree,"Full Time, Contract",7
data engineer,salary,Sun Hung Kai Properties,2022-11-23,Wan Chai,"Requirements
Bachelor’s degree in Computer Science, Information System, Information Management, Quantitative Analysis, Statistics, IT or related discipline
Minimum 4-6 years’ experience in data analytics and business insights of loyalty programs in fast-paced industries
Proficiency in Python, Tableau & SQL programming (e.g. MySQL, PostgreSQL and BigQuery etc)
Strong business acumen, analytical skills and numerical sense, able to work independently
Have good communication and interpersonal skills
Experience in managing complex customer data from multiple sources would be an advantage
Candidates with Interest in data engineering or database management is welcomed
Responsibilities
Organize and prepare regular business analysis reports
Assist in managing the overall data analytics framework for the loyalty program with an aim to drive sales and business profitability
Develop Business Intelligence tools / Dashboards to facilitate efficient cross-platform data analysis
Manage & design data warehouse, ETL process development & automate data process of mobile app loyalty program
Maintain data governance, data integrity and conduct periodic quality assurance tracking of the Company’s customer loyalty program’s databases
Good remuneration and attractive fringe benefits will be offered to the successful applicant. Interested parties please apply with full resume, present and expected salary, available date by clicking ""Apply Now"".
We are an equal opportunity employer and welcome applications from all qualified candidates. All personal data collected will be used for recruitment purpose only. Applicants not hearing from us within 3 months may consider their applications unsuccessful. All personal data collected will be destroyed within 24 months.",Middle,http://www.shkp.com.hk,Degree,"Full Time, Permanent",4
data analyst,salary,AIA Hong Kong and Macau,2022-11-23,Wong Tai Sin,"At AIA we’ve started an exciting movement to create a healthier, more sustainable future for everyone.
It’s about finding new ways to not only better people's lives, but to better the communities and environments we live in. Encompassing our ambition of helping a billion people live Healthier, Longer, Better Lives by 2030.
And to get there, we need ambitious people who believe in playing an important part in shaping that future. People seeking unmatched career and personal growth opportunities, who are driven to work with, and learn from some of the most inspiring and supportive leaders in the business.
Sound like you? Then read on.
WE ARE LOOKING FOR .....
Improve the operation efficiency to ensure quality reporting and provide insights to management and group office. Design, implement and evaluate advance statistical and machine learning models and approaches for application to various business problem statements relating to all Operation matters
Roles and Responsibilities:
Operation Performance and Analytics
Produce quality reports and provide business insights to management and Group Office
Identify and investigate deviations from KPI matrix and propose improvement plan to business units, IT and ensure successful execution
Design statistical and machine learning models which can benefit in identifying operation improvement areas efficiently
Propose and implement solutions to business problem statements of operations
Provide technical advice and business solutions to KPI reporting
Create data models for user self-help data extraction and data alignment to management reporting
Initiate Report Automation to minimize manual works
Review and align new Technology, Digital and Analytics initiatives to company synergy
Project Management
Continuous monitoring of projects after launch and evaluate the benefit realization achievement compared to the target and propose improvement plan to Business Units to achieve KPI
Solve application and process related problems by creating detail process and system design specifications; and works with other areas across the business units to support a total solution approach
Others
Provide support to other ad-hoc initiatives by management
Minimum Job Requirements:
University graduate in Business or IT discipline with 6 years’ experience
Concrete experience in data mining, machine learning and Business Intelligence tools
Experience in Insurance Operations, Insurance Systems, EDW Systems and SDLC cycle
Candidate with HK Insurance Intermediary Examination Paper 1,2, 3 4 and 5 or equivalent is an added advantage
Good communication and presentation skill
Language proficiency with fluency in Mandarin and /or English is an added advantage
Knowledge of project management, process improvement methodologies will be and added advantage
Attentive to details, strong numeric sense and ability to resolve problems
You are required to obtain relevant licence if your job involves in regulated activities
Welcome fresh graduates as A
Build a career with us as we help our customers and the community live Healthier, Longer, Better Lives.
You must provide all requested information, including Personal Data, to be considered for this career opportunity. Failure to provide such information may influence the processing and outcome of your application. You are responsible for ensuring that the information you submit is accurate and up-to-date.",Entry Level,http://www.aia.com.hk/,Degree,Full Time,1
data engineer,"HK$20,000 - HK$30,000 /month",Page Personnel,2022-11-22,district,"Our client is a construction company running an innovative environmental program for clients in different scales. They are building up a data unit under their innovation team to support this on-going program
Client Details
Our client is a well-established construction company currently running an on-going environmental program for multiple clients, and they have setup a new innovation team to make sure all the consultations and suggestions provided by this team are edge-cutting and market leading. They are looking for high calibres who is interested in learning new tech and bringing in new idea to maximise clients experience.
Description
You will be responsible for paying close attention to the tech market on data side, and constantly inspire your leader and teammates with innovative ideas. It is important for you to participate in and contribute to discussions. Being a key member of data unit, you will need to perform data analysis, preparation and visualisation
Profile
Successful candidate holds undergraduate degree or above certificate preferable in Computer Science, Physics, Electronic or related disciplines with 1-3 years hands-on experience in Data or Business Intelligence or related software development. Practical knowledge and capability in Java, SQL and Docker is highly preferred, candidates with AWS, Azure or GCP certificates will have absolute advantage
Job Offer
Innovative team opportunity
Dynamic culture
Outstanding compensation and benefit
Good work location
To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Carmen Wong on +852 3602 2466.",Middle,http://www.pagepersonnel.com.hk,Degree,"Full Time, Permanent",1
management,salary,AIA Hong Kong and Macau,2022-11-23,Wong Tai Sin,"FIND YOUR 'BETTER' AT AIA
We don’t simply believe in being ‘The Best’. We believe in better - because there’s no limit to how far ‘better’ can take us.
We believe in empowering every one of our people to find their 'better' - in the work they do, the career they build, the life they live and the difference they make. So that together we can support even more people - including our own - to live Healthier, Longer, Better Lives.
If you believe in better, we’d love to hear from you.
WE ARE LOOKING FOR .....
Drives service improvement analysis, plan and resolution to identify current gaps and enhancement actions to uphold service excellence. Supports all affairs of system being used in Service teams and ensures that the designing and implementing of the business requirements and resources planning, process reengineering, UAT test and user training can achieve the highest level of productivity, operations efficiencies, quality and customer satisfaction. Coordinate with Training and Service System and Digital Solutions teams to ensure timely communication of new initiatives as well as feedback collection from user for respective stakeholders’ evaluation
Roles and Responsibilities:
New digital platform development, implementation and support (30%)
Supports the development, implementation and maintenance for new digital platform
Coordinate with frontline stakeholders to understand and consolidate business requirements
Collaborates with end users to ensure developed systems can fulfil user requirements
Prepares documentations including test plan, business requirement metrics, test case, daily status report and UAT completion certificate
Liaise with the relevant stakeholders to prepare training material and provide training to frontline staff for briefing on new initiatives and enhanced functions
Project planning and management (30%)
Manage resource planning, allocation and ensure the project milestones/deliverables to be completed on time and meet the required quality standard
Organize and attend meeting to report progress and resolve any project related issues
Support department head for data analysis & management report generation to drive the success of the delivery of projects
Data analysis and service enhancement planning (35%)
Analysis frontline performance and digital utilization reports to identify potential areas for service improvement and usage uplift
Propose sound suggestions for actionable improvement items based on analytic insights and research on external best practices
Collaborate with respective Service team heads and stakeholders for finetuning and implementing service improvement initiatives
Other responsibilities (5%)
Performs other responsibilities and duties periodically assigned by supervisor in order to meet operational and / or other requirements
Minimum Job Requirements:
University graduate in any discipline
Minimum 5 years relevant working experience
Experience in contact centre management or customer service
Strong interpersonal, analytic, problem solving, planning  implementation skills
Good team player and customer focused
Proficient in both spoken and written Chinese and English
Basic insurance and pension knowledge would be an advantage
Others:
You are required to obtain the relevant license(s) if your job involves regulated activities
Build a career with us as we help our customers and the community live Healthier, Longer, Better Lives.
You must provide all requested information, including Personal Data, to be considered for this career opportunity. Failure to provide such information may influence the processing and outcome of your application. You are responsible for ensuring that the information you submit is accurate and up-to-date.",Middle,http://www.aia.com.hk/,Degree,Full Time,5
data analyst,salary,Dah Chong Hong Holdings Limited,2022-11-22,Kowloon City,"Responsibilities: 
Responsible for maintenance, support and implementation of business intelligence and data warehouse platform
Analyze users requirements and turn data into insights, prediction, actionable items
Prepare system documentation, manage solution deployment and system rollout
Deliver meaningful insight with recommendation using visualization and user-friendly dashboard
Work closely with venders and country IT on business intelligence / data warehouse implementation projects 
Requirements: 
Bachelor’s Degree in Computer Science, Data Science, or relevant disciplines
Minimum 3 years IT working experience, must have 1+ years hands-on experience in BI reporting
Experience with Azura Data Factory, Data Lake, Big Data, BI Dashboard by PowerBI / Qlik
Knowledge in in Azure, SOAP, Microsoft SQL Server, Oracle and MySQL a definitively advantage
Self-motivated, independent and willing to learn
Good interpersonal, communication, analytical and problem solving skills
Good in written and spoken English and Chinese; Mandarin is a plus
 We offer competitive salary, discretionary bonus, medical insurance, life and personal accident insurance, annual leave and staff purchase discount. Interested candidates please send your resume with salary expectation by email or clicking ""Apply Now"".
We are equal opportunities employer. Applicants who are not invited within 2 months may consider their application unsuccessful. All applicants may be considered for other suitable positions with DCH Group / CITIC Pacific Group and will be deleted from our files after 6 months from the date of application.",Entry Level,http://www.dch.com.hk,Degree,"Full Time, Permanent",3
data scientist,salary,Dah Sing Financial Group,2022-11-21,district,"Job Description:
The incumbent will support the implementation of Data Analytics strategy in retail banking business to provide value-adding insights for increasing customer value through enhancing customer experience.
Main Responsibilities: 
Support to implement the data analytics projects including the design and development of data analytic platform to manage customer value, analytics and modelling in the context of the customer life cycle marketing
Translate business problems into data science projects that can be resolved using analytical techniques and mathematical modeling
Help to plan and execute the development of analytical/machine learning solutions from initial design to model development, model validation, implementation, prototyping and testing
Collaborating with internal and external parties to drive business cases on providing the next best action to customers via omni-channel and deployment capability to achieve the business target

People Specifications
Qualifications:     
University graduate major in data science, statistics, quantitative analysis or related discipline
Experience:          -
With at least 3 years of relevant experience, banking and financial sector will be a plus
Experienced in predictive modelling, machine learning and advanced statistics solving business problems
Experience with A/B testing, testing & control framework to strive for product / customer experience
Good communication, time management and work organization skills
Special Skills:     
Proficient in SQL & Python for data management and analysis skill",Middle,http://www.dahsing.com.hk,Degree,"Full Time, Permanent",3
data analyst,salary,Links International,2022-11-23,district,"Our client is a leading technology consulting group which supports financial services clients to go through the digital transformation journey.
Currently they are looking for a detailed minded Data Migration Analyst/Specialist to join the team.
Responsibilities
Lead data migration process by identifying potential issues and solve related data problems
Coordinate and develop test flows for QA
Work with the client to determine data needs, including the types of migrated data and the way data used
Monitor the flow of data set before roll out
Manage patch notes, version locks and import tools
Monitor design and code changes
Analyse and migrate information and data from legacy case management systems into Proclaim
Work with clients to meet their data transformation and migration needs
Requirement
Minimum 3 years of work experiences in data migration, data analysis, data governance, database administration or system/application related experiences
Project and vendor management experiences is an advantage
Strong project management and organizational skills
Strong problem-solving and excellent communication skills
Ability to manage multiple projects with a high attention to detail, while providing superior customer service",Middle,http://www.linksinternational.com/,Degree,"Full Time, Permanent",3
it,salary,AIA Hong Kong and Macau,2022-11-23,Wong Tai Sin,"FIND YOUR 'BETTER' AT AIA
We don’t simply believe in being ‘The Best’. We believe in better - because there’s no limit to how far ‘better’ can take us.
We believe in empowering every one of our people to find their 'better' - in the work they do, the career they build, the life they live and the difference they make. So that together we can support even more people - including our own - to live Healthier, Longer, Better Lives.
If you believe in better, we’d love to hear from you.
WE ARE LOOKING FOR .....
Drive the planning and implementation of the data remediation project and Group Critical Data Element (‘CDE’) project by working and coordinating with key stakeholders on requirement gathering, data extraction, facilitating CDEs gap analysis, project implementation details, and UAT schedule, etc. to ensure the relevant project is delivered on time
Roles and Responsibilities:
Data Remediation Project (35%)
Help to drive and lead the data quality remediation exercise and project associated with the follow up actions data quality findings
Work with compliance team to understand the follow up items requirements, including but not limited to data patching / remediation project, data collection project via AIA Connect, enhancement of Business nature for corporate customers
Work with key stakeholders to collect user requirements / technical / specification requirements, implementation timeline and UAT
Provide key metric for project success and track and report on project progress
Engage and support all stakeholders to ensure timely and efficient delivery of outcomes for data governance project
Group CDEs Project (35%)
Help to drive the Group CDE project from operation perspective
Work with key stakeholders, including IT, Compliance team to support the CDE gap analysis, CDE definition and CDEs measurement metrics, etc.
Co-ordinate with compliance, IT and operations team on the overall implementation timeline, including UAT and production schedule
Develop Key metrics for project success and track and report on program progress
Engage and support all stakeholders to ensure timely and efficient delivery of outcomes for Compliance related initiatives
OCMD (Operation Customer Master Database) Project (20%)
Support the launch of the OCMD project by communicating with key stakeholders on the data remediation workflow and procedures
Help to define and setup the benchmarking requirement of the regular data remediation exercise
Other Responsibilities (10%)
Provide support on the planning of Compliance related initiatives including allocating resources, identifying potential risks and setting up expected deliverables
Carry out ad-hoc analysis and preparation of management presentation materials
Minimum Job Requirements:
University degree holder (preferably in insurance, computer science and business fields) with minimum 5 years of working experience in insurance companies
Strong communication, stakeholder management and leadership skills, able to motivate, coach, drive project progress
Excellent command of spoken/written Chinese (Cantonese and Mandarin) and English
Excellent analytical skills, strategic thinking, able to contribute simpler and faster solutions and always puts customer at the center of decision making and day-to-day operation
Proactively provides simpler, faster, more connected and agility solutions with strong stakeholder and relationship management skills
Obtain relevant license is required if the job involves in regulated activities
Build a career with us as we help our customers and the community live Healthier, Longer, Better Lives.
You must provide all requested information, including Personal Data, to be considered for this career opportunity. Failure to provide such information may influence the processing and outcome of your application. You are responsible for ensuring that the information you submit is accurate and up-to-date.",Middle,http://www.aia.com.hk/,Degree,Contract,5
it,salary,Kai Shing Management Services Ltd,2022-11-24,Kwun Tong,"What will you do?
Conduct business process analysis and requirement analysis
System development, implementation, and testing
Prepare system specifications and documentations such as test plan, implementation plan, and user manual, etc.
Assist IT Manager in requirement study, analysis, design, documentation and co-ordination with users and operations teams
Provide support to end users on various business systems
Do you have a right profile?
Bachelor’s degree in Computer Science, IT or related discipline
At least 6 years’ solid working experience in Java, Java EE
Knowledge in JSON, Ajax, Spring, Struts, EJB is preferred
Knowledge in MySQL and Oracle is preferred
Knowledge in RESTful API is preferred
Experience in Windows & Unix/Linux platform
Good analytical, communication and problem solving skills
Candidate with less experience will be considered as Analyst Programmer
Less experience candidate may be considered for the position of Analyst Programmer.
What do we offer?
Attractive remuneration package
Great promotion ladder
Referral reward
Medical benefit
Paid marriage leave, birthday leave, well-being leave and annual leave
Education subsidy
Children scholarship
Company trip
How to apply?
Interested parties, please apply once with application quoting job reference number, detailed resume, contact telephone number and expected salary by:
Clicking the “Apply Now” button
Mail to: Human Resources Department, Unit 301-303, 3/F, Apec Plaza, 49 Hoi Yuen Road, Kwun Tong, Hong Kong
Fax to:  (852) 2827 8608
Call: (852) 3703 5460
(Attached resume should be in MS Word for Windows)
(Data collected would be used for recruitment purpose only)",Senior,http://www.kaishing.hk,Degree,Full Time,6
it,salary,Kai Shing Management Services Ltd,2022-11-23,Kwun Tong,"What will you do?

Responsible for IT/IOT project implementation
Work closely with the Solution Architect and other Software Engineers for the software development a various project
Conduct the on-site testing and commissioning
Liaise with site to better understanding their needs and requirements
Strong sense of responsibility and able to meet project deadlines
Do you have a right profile?

Higher Diploma or above in Computer & Information Sciences
1-3 years of relevant experiences in IT/IOT project
Knowledge of Windows Servers, workstations and Linux is an advantage
Knowledge and experience of Chatbot, AI, BI and IOT solution is an advantage
Knowledge in Electronic Engineering is an advantage.
Having a good conception of Cloud, including AWS and Azure, is highly preferred
Good analytical, inter-personal and problem solving skills
Good team player, positive attitude, innovative, self-initiating, eager to learn new technology and share with other team members, hardworking, able to work under pressure and work independently
Proficient in both English and Mandarin Chinese
What do we offer?
Attractive remuneration package
Great promotion ladder
Referral reward
Medical benefit
Paid marriage leave, birthday leave, well-being leave and annual leave
Education subsidy
Children scholarship
Company trip
How to apply?
Interested parties, please apply once with application quoting job reference number, detailed resume, contact telephone number and expected salary by:
Clicking the “Apply Now” button
Mail to: Human Resources Department, Unit 301-303, 3/F, Apec Plaza, 49 Hoi Yuen Road, Kwun Tong, Hong Kong
Fax to:  (852) 2827 8608
Call: (852) 3703 5460
(Attached resume should be in MS Word for Windows)
(Data collected would be used for recruitment purpose only)",Middle,http://www.kaishing.hk,Degree,"Full Time, Permanent",2
data analyst,salary,ELEVATE Hong Kong Holdings Limited,2022-11-23,Eastern,"Role
Senior Data Visualization Analyst
Location
Hong Kong

Who we are
At ELEVATE, we offer a unique and impactful career journey designed to empower our teams to influence change. Join our team for a truly international experience. With 24+ offices globally (and still growing), you will have exposure to real issues that span the globe. Fasten your seatbelt for an energetic and dynamic experience where you will conduct a broad range of environmental and social supply chain audits to support impact-driven responsible sourcing programs. Supplier transparency is part of ELEVATE’s DNA to understand risk exposure associated with social compliance issues. We constantly develop innovative solutions to uncover and manage risk from social and environmental to building, electrical and fire safety. ELEVATE was the first firm to integrate anonymous worker surveys into the assessment process creating the industry’s first integrated assessment. ELEVATE has developed EiQ to create predictive models to assess risks of unauthorized subcontracting, human trafficking, labor unrest, and other key risk issues. ELEVATE has also developed the first KPI-based monthly monitoring program to show the links between business performance issues and social non-compliance. When a supplier needs more guidance our Capacity Building experts design holistic and custom improvement plans to create long-term solutions.
Job overview at a glance
ELEVATE is seeking a solutions-oriented, highly quantitative and analytical individual to fill the role of Senior Data Visualization Analyst within the Worker Survey team. As a Senior Data Visualization Analyst, you will be responsible for data storytelling – interpreting and presenting data collected through solutions and services including worker surveys in ways that are easily understood and interpreted to inform key business decisions related to social compliance improvements. You will apply your growth mindset to identify areas for improvement in the data analysis and visualization processes and will bring your knowledge and experience to generate high-impact data reports and visuals.
Who you are
Are you thrilled by the idea of working in a business that aims tackle the world’s biggest challenges? Do you want to work:
on environmental, social and governance issues
with an amazing team of like-minded creative thinkers
in a fast-paced dynamic environment
for some of the biggest and most forward-looking brands in the world
Responsibilities
Your day-to-day responsibilities will focus on conducting quantitative and qualitative data analysis and working with complex datasets generated by our innovative and global data collection system for Worker Survey to produce clear, actionable data visuals and reporting.
Your responsibilities may include, but are not limited to:
Apply data visualization analysis to deliver innovative client-centric solutions (50%)
Utilize internal software applications and our global data collection system to transform, improve and integrate supply chain data relating to worker insights.
Produce data trend reports, risk analytics, and insights and communicate any gaps, questions, and/or assumptions in a concise and clear manner to accomplish their objectives.
Design and generate compelling data visualizations to provide clients with actionable insight they can use to drive informed responsible sourcing decisions, including best practices around data benchmarking.
Ensure effectiveness and efficiency of Worker Survey operations (30%)
Support the development of additional data collection and reporting tools and integrations with survey platforms and identify how workflows can be streamlined where needed.
Adhere to internal processes for monitoring and managing ELEVATE’s growing data collection network with an aggressive turnaround on solving active issues with little downtime.
Support the development and maintenance of structured work programs and outputs and project-level communication between staff and key stakeholders.
Maintain productive alignment with other business functions (20%)
Research and test machine learning and theoretical data models related to major risk areas in key industries, supply chains, markets, geographies and over time
Supports the evolution of products or services on data and analytics-related tasks (e.g., social media and web crawlers, survey design and testing, data quality standards creation / adoption etc.)
Support the Advisory and Analytics team by providing data insights and integrating worker data in EiQ, the all-in-one client data portal for ESG & sustainability
Qualifications
Candidates are required to have excellent analytical skills. Ideal candidates will have demonstrated experience of performing comprehensive data analyses independently and proactively. S/he must thrive in a fast-paced environment, have strong attention to detail and ability to leverage a combination of technical and communication skills.
Requirements
University degree in a subject that develops your analytical skills, such as business, marketing, statistics, or computer science.
Relevant experience with 5 years in conducting quantitative and qualitative data analysis and working with complex and unstructured datasets.
Comfort working with multiple data software packages (e.g., PowerBI, Tableau, SPSS), advanced Excel skills, familiarity with Python, and database knowledge are added plus.
High level of attention to detail and keen ability to monitor, analyze, and manage data to meet client expectations and goals.
Design-thinking and communication skills (written and verbal) to interpret data results in a clear and effective manner to internal and external stakeholders.
Interest in ESG & CSR and using data for good.
Candidate with less experience will also be considered
Equal Opportunity Employer
ELEVATE is committed to creating a diverse and inclusive workplace and is proud to be an Equal Opportunity Employer. All qualified applicants will be considered without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, genetics, disability, age, veteran status, or any other status protected by local law. Personal data provided by applicants will be treated as confidential information and will be used exclusively for employment purposes only. Only short-listed candidates will be notified. Applicants who are not invited for an interview may consider their applications filed for future reference.
To learn more about career opportunities at ELEVATE, please visit our Careers Page here: https://www.elevatelimited.com/careers/",Senior,https://www.elevatelimited.com,Degree,"Full Time, Permanent",5
it,salary,Acton Consulting Limited,2022-11-23,district,"Our client is a sizable organization. Due to the rapid growth of the company, Looking for a senior data professional to join its big data platform team

THE JOB:
Act as visionary and strategist for solutions/applications/systems across Big Data Platform
Responsible to understand the requirements, analyse the functional delivery, define specification, design solutions
Provide expertise to identify and translate system requirements into software design artefacts
Advise during the development life cycle by serving as a solution SME to help identify and qualify business development opportunities
Lead formation of architecture roadmaps for the Big Data Platform
THE PERSON:
University Degree or above in IT / ICT / Data / Computer studies / Business Data
At 12 years experience in Software development field or Data Warehouse or BI
5+ years of experience in development of data platforms
2+ years' experience in Architect role
Experience in Google Cloud Platform and Consumer Analytics is an advantage
Working experience in designing and implementing modern data platform architectures such as Lambda architecture, Kappa architecture and Data mesh is a plus
Technical knowledge in Any 2 of the followings will be an advantage: Hadoop, HDFS, non-relational (NoSQL, MongoDB) and relational (MySQL), Spark with Java / Scala / Python
Ability to work independently and handle multiple concurrent initiatives
Applicants will less experience will be considered for Senior System Analyst (Big Data)
Interested parties please send full resume in MS WORD format stating current salary, expected salary and availability to cv@ ActonCL.com

WebSite: www.ActonCL.com

All information received will be kept in strict confidence and only for employment-related purposes",Senior,http://www.actoncl.com,Non-Degree Tertiary,"Full Time, Permanent, Contract",7
it,salary,Ma Belle Jewellery Co Ltd,2022-11-21,Wan Chai,"INTERNSHIP

Support the Head of Application and Development, you will be a part of the team members in supporting and developing various application and systems with ample opportunities to work with various business projects.
Responsibities:
Assisting in programming and backend coding for web & e-Commerce projects and responsive design
Exposure to work closely with UI/UX designer to delvier the best experience on both web and mobile platforms
Prepare test cases and suppport user acceptance tests and production rollout
Prepare system docementation
Trobleshoot and resolve application issues
The Person
Degree holder / Undergraduate with major in Computer Science  or related disciplines
Knowledge in  C#, PHP, HTML, JQuery, CSS, JavaScript, XML, MS SQL, REST API integration, etc.
Knwoledge of responsive web design and cross-browser compatibility
Self-motivated, keen on learning, result-orientated and able to work under pressure
We offer 5-day week, attractive remuneration, career advancement opportunity, medical benefit, discretionary bonus, staff purchase privileges to the right candidate. Interested parties, please send us your full resume with current and expected salary.
Personal data collected will be used for recruitment purposes only and will be treated in strict confidence.  Applicants not invited for interview within 4 months may consider their applications unsuccessful.",Entry Level,http://www.mabelle.com,Degree,"Full Time, Internship",1
bi specialist,salary,Lee Kum Kee (Hong Kong) Foods Ltd,2022-11-21,Tai Po,"Responsibilities:
Responsible for the implementations of the data analytics projects
Understand business needs and pain points, and formulate data business scenarios and needs with users. Translate business needs to technical specifications
Prepare documents user manuals and delivery user trainings
Developments on dashboards and reports. Conduct unit tests and test cases
Maintenance and user support for existing BI platforms
Requirements:
Degree / higher Diploma holder in Computer or related discipline
5-year experience on development and support Business Intelligence platforms
Solid development and user support on Business Intelligence (BI) / Data Visualization platform such as QlikSense / SAP BW / SAP Business Objects (including Lumira)
Background in data warehouse design and data modeling
Hands on experience on RPA and CRM is an advantage
Experience in FMCG industry
Good interpersonal skills and communication skills in English, Cantonese and Putonghua
Able to efficiently identify system problems, find solutions, and fully understand impacts
We offer competitive salary package and attractive fringe benefits including life insurance, medical & dental to the right candidates. We also offer free lunch and free shuttle bus service.
Interested parties please click “Apply Now” to submit your application including expected salary and contact information.
For more information, please visit our website at https://corporate.lkk.com/.
All personal data provided by the job applicants will be treated in strictly confidential and will be used exclusively for employment purpose only. You should consider your application as being unsuccessful if you do not hear from us within 3 months. Your application will be retained for 12 months and be considered for other appropriate positions within this period. ",Middle,http://www.lkk.com,Degree,"Full Time, Permanent",5
